,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
20,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,2009
21,19T,Roger Mason,28,SAS,0.0,3.0,605,0.005,82,30.4,11.8,3.1,2.1,0.5,0.1,.425,.421,.890,4.7,.091,2009
22,19T,Dwyane Wade,27,MIA,0.0,3.0,605,0.005,79,38.6,30.2,5.0,7.5,2.2,1.3,.491,.317,.765,14.7,.232,2009
23,23T,Ronnie Brewer,23,UTA,0.0,2.0,605,0.003,81,32.2,13.7,3.7,2.2,1.7,0.4,.508,.259,.702,6.8,.126,2009
24,23T,Luis Scola,28,HOU,0.0,2.0,605,0.003,82,30.3,12.7,8.8,1.5,0.8,0.1,.531,.000,.760,8.6,.165,2009
25,25T,J.J. Barea,24,DAL,0.0,1.0,605,0.002,79,20.3,7.8,2.2,3.4,0.5,0.1,.442,.357,.753,2.2,.066,2009
26,25T,Andrea Bargnani,23,TOR,0.0,1.0,605,0.002,78,31.4,15.4,5.3,1.2,0.4,1.2,.450,.409,.831,3.9,.076,2009
27,25T,Rasual Butler,29,NOH,0.0,1.0,605,0.002,82,31.9,11.2,3.3,0.9,0.6,0.7,.433,.390,.782,4.6,.084,2009
28,25T,Mike Conley,21,MEM,0.0,1.0,605,0.002,82,30.6,10.9,3.4,4.3,1.1,0.1,.442,.406,.817,4.5,.086,2009
29,25T,Jeff Green,22,OKC,0.0,1.0,605,0.002,78,36.8,16.5,6.7,2.0,1.0,0.4,.446,.389,.788,4.2,.070,2009
30,25T,Emeka Okafor,26,CHA,0.0,1.0,605,0.002,82,32.8,13.2,10.1,0.6,0.6,1.7,.561,,.593,8.2,.147,2009
31,25T,Kendrick Perkins,24,BOS,0.0,1.0,605,0.002,76,29.6,8.5,8.1,1.3,0.3,2.0,.577,.000,.600,5.6,.119,2009
32,25T,Tyrus Thomas,22,CHI,0.0,1.0,605,0.002,79,27.5,10.8,6.4,1.0,1.2,1.9,.451,.333,.783,4.6,.101,2009
33,25T,Gerald Wallace,26,CHA,0.0,1.0,605,0.002,71,37.6,16.6,7.8,2.7,1.7,0.9,.480,.298,.804,9.5,.172,2009
34,25T,Mo Williams,26,CLE,0.0,1.0,605,0.002,81,35.0,17.8,3.4,4.1,0.9,0.1,.467,.436,.912,9.8,.165,2009
0,1,Aaron Brooks,25,HOU,62.0,403.0,615,0.655,82,35.6,19.6,2.6,5.3,0.8,0.2,.432,.398,.822,5.5,.091,2010
1,2T,Kevin Durant,21,OKC,17.0,101.0,615,0.164,82,39.5,30.1,7.6,2.8,1.4,1.0,.476,.365,.900,16.1,.238,2010
2,2T,Marc Gasol,25,MEM,9.0,101.0,615,0.164,69,35.8,14.6,9.3,2.4,1.0,1.6,.581,.000,.670,8.4,.164,2010
3,2T,George Hill,23,SAS,7.0,101.0,615,0.164,78,29.2,12.4,2.6,2.9,0.9,0.3,.478,.399,.772,6.7,.142,2010
4,5,Andrew Bogut,25,MIL,7.0,93.0,615,0.151,69,32.3,15.9,10.2,1.8,0.6,2.5,.520,.000,.629,7.5,.161,2010
5,6,Russell Westbrook,21,OKC,5.0,67.0,615,0.109,82,34.3,16.1,4.9,8.0,1.3,0.4,.418,.221,.780,6.1,.105,2010
6,7,Joakim Noah,24,CHI,7.0,64.0,615,0.104,64,30.1,10.7,11.0,2.1,0.5,1.6,.504,,.744,6.2,.154,2010
7,8,Gerald Wallace,27,CHA,3.0,29.0,615,0.047,76,41.0,18.2,10.0,2.1,1.5,1.1,.484,.371,.776,11.5,.177,2010
8,9T,Brook Lopez,21,NJN,1.0,19.0,615,0.031,82,36.9,18.8,8.6,2.3,0.7,1.7,.499,.000,.817,7.9,.125,2010
9,9T,Corey Brewer,23,MIN,0.0,19.0,615,0.031,82,30.3,13.0,3.4,2.4,1.4,0.4,.431,.346,.648,1.0,.020,2010
10,11,Carl Landry,26,TOT,0.0,18.0,615,0.029,80,30.9,16.8,5.9,0.8,0.7,0.8,.536,.333,.806,7.7,.150,2010
11,12T,Rajon Rondo,23,BOS,2.0,12.0,615,0.020,81,36.6,13.7,4.4,9.8,2.3,0.1,.508,.213,.621,9.6,.156,2010
12,12T,Andray Blatche,23,WAS,1.0,12.0,615,0.020,81,27.9,14.1,6.3,2.1,1.0,0.9,.478,.295,.744,3.4,.073,2010
13,14T,Channing Frye,26,PHO,1.0,10.0,615,0.016,81,27.0,11.2,5.3,1.4,0.8,0.9,.451,.439,.810,6.4,.141,2010
14,14T,Danilo Gallinari,21,NYK,0.0,10.0,615,0.016,81,33.9,15.1,4.9,1.7,0.9,0.7,.423,.381,.818,5.6,.098,2010
15,16,Josh Smith,24,ATL,0.0,8.0,615,0.013,81,35.4,15.7,8.7,4.2,1.6,2.1,.505,.000,.618,9.3,.155,2010
16,17,David Lee,26,NYK,0.0,7.0,615,0.011,81,37.3,20.2,11.7,3.6,1.0,0.5,.545,.000,.812,10.3,.163,2010
17,18,Dwight Howard,24,ORL,1.0,5.0,615,0.008,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223,2010
18,19T,Ersan İlyasova,22,MIL,0.0,4.0,615,0.007,81,23.4,10.4,6.4,1.0,0.7,0.3,.443,.336,.715,5.8,.146,2010
19,19T,Chris Kaman,27,LAC,0.0,4.0,615,0.007,76,34.3,18.5,9.3,1.6,0.5,1.2,.490,.000,.749,2.4,.044,2010
20,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,2010
21,19T,J.J. Redick,25,ORL,0.0,4.0,615,0.007,82,22.0,9.6,1.9,1.9,0.3,0.0,.439,.405,.860,6.5,.173,2010
22,22T,Chris Douglas-Roberts,23,NJN,0.0,3.0,615,0.005,67,25.8,9.8,3.0,1.4,0.8,0.3,.445,.259,.847,0.7,.020,2010
23,22T,Nenê,27,DEN,0.0,3.0,615,0.005,82,33.6,13.8,7.6,2.5,1.4,1.0,.587,.000,.704,10.8,.188,2010
24,22T,Paul Millsap,24,UTA,0.0,3.0,615,0.005,82,27.8,11.6,6.8,1.6,0.8,1.2,.538,.111,.693,7.2,.151,2010
25,25,Robin Lopez,21,PHO,0.0,2.0,615,0.003,51,19.3,8.4,4.9,0.1,0.2,1.0,.588,,.704,3.2,.158,2010
26,26T,Monta Ellis,24,GSW,0.0,1.0,615,0.002,64,41.4,25.5,4.0,5.3,2.2,0.4,.449,.338,.753,1.3,.023,2010
27,26T,J.J. Hickson,21,CLE,0.0,1.0,615,0.002,81,20.9,8.5,4.9,0.5,0.4,0.5,.554,.000,.681,4.3,.123,2010
28,26T,Zach Randolph,28,MEM,0.0,1.0,615,0.002,81,37.7,20.8,11.7,1.8,1.0,0.4,.488,.288,.778,9.7,.153,2010
29,26T,John Salmons,30,TOT,0.0,1.0,615,0.002,81,34.9,15.4,3.3,2.8,1.2,0.3,.441,.382,.830,7.1,.121,2010
30,26T,Ben Wallace,35,DET,0.0,1.0,615,0.002,69,28.6,5.5,8.7,1.5,1.2,1.2,.541,.000,.406,4.7,.115,2010
0,1,Kevin Love,22,MIN,66.0,400.0,580,0.690,73,35.8,20.2,15.2,2.5,0.6,0.4,.470,.417,.850,11.4,.210,2011
1,2,LaMarcus Aldridge,25,POR,11.0,157.0,580,0.271,81,39.6,21.8,8.8,2.1,1.0,1.2,.500,.174,.791,11.1,.166,2011
2,3,Dorell Wright,25,GSW,16.0,124.0,580,0.214,82,38.4,16.4,5.3,3.0,1.5,0.8,.423,.376,.789,5.8,.088,2011
3,4,Derrick Rose,22,CHI,11.0,69.0,580,0.119,81,37.4,25.0,4.1,7.7,1.0,0.6,.445,.332,.858,13.1,.208,2011
4,5,Kris Humphries,25,NJN,1.0,63.0,580,0.109,74,27.9,10.0,10.4,1.1,0.4,1.1,.527,.000,.665,5.4,.125,2011
5,6,Kyle Lowry,24,HOU,3.0,48.0,580,0.083,75,34.2,13.5,4.1,6.7,1.4,0.3,.426,.376,.765,7.0,.130,2011
6,7,Russell Westbrook,22,OKC,3.0,46.0,580,0.079,82,34.7,21.9,4.6,8.2,1.9,0.4,.442,.330,.842,9.4,.159,2011
7,8,Wesley Matthews,24,POR,2.0,32.0,580,0.055,82,33.6,15.9,3.1,2.0,1.2,0.1,.449,.407,.844,7.2,.126,2011
8,9,Jrue Holiday,20,PHI,1.0,15.0,580,0.026,82,35.4,14.0,4.0,6.5,1.5,0.4,.446,.365,.823,5.7,.094,2011
9,10,Mike Conley,23,MEM,0.0,14.0,580,0.024,81,35.5,13.7,3.0,6.5,1.8,0.2,.444,.369,.733,6.6,.111,2011
10,11,Arron Afflalo,25,DEN,0.0,13.0,580,0.022,69,33.7,12.6,3.6,2.4,0.5,0.4,.498,.423,.847,6.2,.128,2011
11,12,Roy Hibbert,24,IND,1.0,9.0,580,0.016,81,27.7,12.7,7.5,2.0,0.4,1.8,.461,.000,.745,3.6,.077,2011
12,13,DeMar DeRozan,21,TOR,1.0,6.0,580,0.010,82,34.8,17.2,3.8,1.8,1.0,0.4,.467,.096,.813,3.2,.055,2011
13,14T,Eric Gordon,22,LAC,0.0,5.0,580,0.009,56,37.7,22.3,2.9,4.4,1.3,0.3,.450,.364,.825,5.3,.120,2011
14,14T,Tyler Hansbrough,25,IND,0.0,5.0,580,0.009,70,21.9,11.0,5.2,0.6,0.5,0.2,.465,.000,.779,3.8,.118,2011
15,14T,Nick Young,25,WAS,0.0,5.0,580,0.009,64,31.8,17.4,2.7,1.2,0.7,0.3,.441,.387,.816,2.8,.065,2011
16,17T,Darrell Arthur,22,MEM,0.0,4.0,580,0.007,80,20.1,9.1,4.3,0.7,0.7,0.8,.497,.000,.813,3.8,.113,2011
17,17T,Serge Ibaka,21,OKC,0.0,4.0,580,0.007,82,27.0,9.9,7.6,0.3,0.4,2.4,.543,.000,.750,7.6,.164,2011
18,17T,DeAndre Jordan,22,LAC,0.0,4.0,580,0.007,80,25.6,7.1,7.2,0.5,0.5,1.8,.686,.000,.452,5.2,.122,2011
19,17T,Thaddeus Young,22,PHI,0.0,4.0,580,0.007,82,26.0,12.7,5.3,1.0,1.1,0.3,.541,.273,.707,6.2,.139,2011
20,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,2011
21,21T,D.J. Augustin,23,CHA,0.0,3.0,580,0.005,82,33.6,14.4,2.7,6.1,0.7,0.0,.416,.333,.906,6.2,.108,2011
22,21T,Luol Deng,25,CHI,0.0,3.0,580,0.005,82,39.1,17.4,5.8,2.8,1.0,0.6,.460,.345,.753,9.9,.149,2011
23,21T,Amar'e Stoudemire,28,NYK,0.0,3.0,580,0.005,78,36.8,25.3,8.2,2.6,0.9,1.9,.502,.435,.792,8.0,.134,2011
24,24T,Tony Allen,29,MEM,0.0,1.0,580,0.002,72,20.8,8.9,2.7,1.4,1.8,0.6,.510,.174,.753,4.7,.152,2011
25,24T,Michael Beasley,22,MIN,0.0,1.0,580,0.002,73,32.3,19.2,5.6,2.2,0.7,0.7,.450,.366,.753,1.7,.035,2011
26,24T,Elton Brand,31,PHI,0.0,1.0,580,0.002,81,34.7,15.0,8.3,1.5,1.1,1.3,.512,.000,.780,9.4,.161,2011
27,24T,Tyson Chandler,28,DAL,0.0,1.0,580,0.002,74,27.8,10.1,9.4,0.4,0.5,1.1,.654,,.732,9.4,.218,2011
28,24T,Jared Dudley,25,PHO,0.0,1.0,580,0.002,82,26.1,10.6,3.9,1.3,1.1,0.2,.477,.415,.743,5.6,.126,2011
29,24T,Marcin Gortat,26,TOT,0.0,1.0,580,0.002,80,25.4,10.2,7.9,0.9,0.5,1.1,.561,.250,.725,6.4,.152,2011
30,24T,James Harden,21,OKC,0.0,1.0,580,0.002,82,26.7,12.2,3.1,2.1,1.1,0.3,.436,.349,.843,7.1,.156,2011
31,24T,Jodie Meeks,23,PHI,0.0,1.0,580,0.002,74,27.9,10.5,2.3,1.1,0.9,0.1,.425,.397,.894,5.1,.120,2011
0,1,Ryan Anderson,23,ORL,33.0,260.0,605,0.43,61,32.2,16.1,7.7,0.9,0.8,0.4,0.439,0.393,0.877,8.9,0.219,2012
1,2,Ersan İlyasova,24,MIL,21.0,159.0,605,0.263,60,27.6,13.0,8.8,1.2,0.7,0.7,0.492,0.455,0.781,6.4,0.185,2012
2,3,Nikola Peković,26,MIN,10.0,104.0,605,0.172,47,26.9,13.9,7.4,0.7,0.6,0.7,0.564,,0.743,4.5,0.17,2012
3,4,Andrew Bynum,24,LAL,14.0,101.0,605,0.167,60,35.2,18.7,11.8,1.4,0.5,1.9,0.558,0.2,0.692,8.0,0.183,2012
4,5,Greg Monroe,21,DET,10.0,96.0,605,0.159,66,31.5,15.4,9.7,2.3,1.3,0.7,0.521,0.0,0.739,7.0,0.161,2012
5,6,Jeremy Lin,23,NYK,10.0,91.0,605,0.15,35,26.9,14.6,3.1,6.2,1.6,0.3,0.446,0.32,0.798,2.7,0.14,2012
6,7,Goran Dragić,25,HOU,4.0,54.0,605,0.089,66,26.5,11.7,2.5,5.3,1.3,0.2,0.462,0.337,0.805,5.1,0.139,2012
7,8,Avery Bradley,21,BOS,4.0,36.0,605,0.06,64,21.4,7.6,1.8,1.4,0.7,0.2,0.498,0.407,0.795,2.4,0.085,2012
8,9T,Danny Green,24,SAS,3.0,27.0,605,0.045,66,23.1,9.1,3.5,1.3,0.9,0.7,0.442,0.436,0.79,4.5,0.142,2012
9,9T,Jeff Teague,23,ATL,1.0,27.0,605,0.045,66,33.1,12.6,2.4,4.9,1.6,0.6,0.476,0.342,0.757,6.0,0.131,2012
10,11T,Serge Ibaka,22,OKC,2.0,16.0,605,0.026,66,27.2,9.1,7.5,0.4,0.5,3.7,0.535,0.333,0.661,6.2,0.167,2012
11,11T,Ty Lawson,24,DEN,1.0,16.0,605,0.026,61,34.8,16.4,3.7,6.6,1.3,0.1,0.488,0.365,0.824,6.9,0.157,2012
12,13,Paul George,21,IND,2.0,13.0,605,0.021,66,29.7,12.1,5.6,2.4,1.6,0.6,0.44,0.385,0.802,6.0,0.148,2012
13,14,Steve Novak,28,NYK,1.0,12.0,605,0.02,54,18.9,8.8,1.9,0.2,0.3,0.2,0.478,0.472,0.846,3.9,0.181,2012
14,15,DeMarcus Cousins,21,SAC,0.0,11.0,605,0.018,64,30.5,18.1,11.0,1.6,1.5,1.2,0.448,0.143,0.702,4.2,0.104,2012
15,16,Kevin Love,23,MIN,1.0,8.0,605,0.013,55,39.0,26.0,13.3,2.0,0.9,0.5,0.448,0.372,0.824,10.0,0.223,2012
16,17T,James Harden,22,OKC,0.0,7.0,605,0.012,62,31.4,16.8,4.1,3.7,1.0,0.2,0.491,0.39,0.846,9.3,0.23,2012
17,17T,Roy Hibbert,25,IND,0.0,7.0,605,0.012,65,29.8,12.8,8.8,1.7,0.5,2.0,0.497,0.0,0.711,6.2,0.154,2012
18,19T,Marcin Gortat,27,PHO,1.0,6.0,605,0.01,66,32.0,15.4,10.0,0.9,0.7,1.5,0.555,0.0,0.649,7.6,0.172,2012
19,19T,Gerald Henderson,24,CHA,1.0,6.0,605,0.01,55,33.3,15.1,4.1,2.3,0.9,0.4,0.459,0.234,0.76,1.0,0.026,2012
20,21T,Marc Gasol,27,MEM,1.0,5.0,605,0.008,65,36.5,14.6,8.9,3.1,1.0,1.9,0.482,0.083,0.748,8.2,0.166,2012
21,21T,Kyle Lowry,25,HOU,1.0,5.0,605,0.008,47,32.1,14.3,4.5,6.6,1.6,0.3,0.409,0.374,0.864,4.9,0.156,2012
22,23,Gordon Hayward,21,UTA,0.0,4.0,605,0.007,66,30.5,11.8,3.5,3.1,0.8,0.6,0.456,0.346,0.832,4.9,0.116,2012
23,24T,Arron Afflalo,26,DEN,0.0,3.0,605,0.005,62,33.6,15.2,3.2,2.4,0.6,0.2,0.471,0.398,0.798,5.3,0.121,2012
24,24T,Tony Parker,29,SAS,0.0,3.0,605,0.005,60,32.1,18.3,2.9,7.7,1.0,0.1,0.48,0.23,0.799,7.1,0.177,2012
25,24T,C.J. Watson,27,CHI,0.0,3.0,605,0.005,49,23.7,9.7,2.1,4.1,0.9,0.2,0.368,0.393,0.808,2.6,0.109,2012
26,24T,Brandan Wright,24,DAL,0.0,3.0,605,0.005,49,16.1,6.9,3.6,0.3,0.4,1.3,0.618,0.0,0.634,3.5,0.215,2012
27,28T,Jarrett Jack,28,NOH,0.0,1.0,605,0.002,45,34.0,15.6,3.9,6.3,0.7,0.2,0.456,0.348,0.872,3.8,0.119,2012
28,28T,Marreese Speights,24,MEM,0.0,1.0,605,0.002,60,22.4,8.8,6.2,0.8,0.4,0.5,0.453,0.0,0.771,2.7,0.096,2012
0,1,Paul George,22,IND,52.0,311.0,600,0.518,79,37.6,17.4,7.6,4.1,1.8,0.6,.419,.362,.807,9.0,.145,2013
1,2,Greivis Vásquez,26,NOH,13.0,146.0,600,0.243,78,34.4,13.9,4.3,9.0,0.8,0.1,.433,.342,.805,3.8,.067,2013
2,3,Larry Sanders,24,MIL,10.0,141.0,600,0.235,71,27.3,9.8,9.5,1.2,0.7,2.8,.506,.000,.618,6.0,.149,2013
3,4,Nikola Vučević,22,ORL,10.0,109.0,600,0.182,77,33.2,13.1,11.9,1.9,0.8,1.0,.519,.000,.683,5.7,.106,2013
4,5,Jrue Holiday,22,PHI,10.0,102.0,600,0.170,78,37.5,17.7,4.2,8.0,1.6,0.4,.431,.368,.752,3.3,.055,2013
5,6,Ömer Aşık,26,HOU,9.0,86.0,600,0.143,82,30.0,10.1,11.7,0.9,0.6,1.1,.541,.000,.562,5.5,.108,2013
6,7,James Harden,23,HOU,8.0,53.0,600,0.088,78,38.3,25.9,4.9,5.8,1.8,0.5,.438,.368,.851,12.8,.206,2013
7,8,Stephen Curry,24,GSW,1.0,18.0,600,0.030,78,38.2,22.9,4.0,6.9,1.6,0.2,.451,.453,.900,11.2,.180,2013
8,9,Serge Ibaka,23,OKC,1.0,15.0,600,0.025,80,31.1,13.2,7.7,0.5,0.4,3.0,.573,.351,.749,9.4,.181,2013
9,10,Chandler Parsons,24,HOU,0.0,14.0,600,0.023,76,36.3,15.5,5.3,3.5,1.0,0.4,.486,.385,.729,7.0,.121,2013
10,11,Kemba Walker,22,CHA,0.0,9.0,600,0.015,82,34.9,17.7,3.5,5.7,2.0,0.4,.423,.322,.798,4.8,.080,2013
11,12T,J.R. Smith,27,NYK,1.0,8.0,600,0.013,80,33.5,18.1,5.3,2.7,1.3,0.3,.422,.356,.762,6.7,.120,2013
12,12T,Klay Thompson,22,GSW,1.0,8.0,600,0.013,82,35.8,16.6,3.7,2.2,1.0,0.5,.422,.401,.841,4.3,.070,2013
13,14,Jimmy Butler,23,CHI,0.0,7.0,600,0.012,82,26.0,8.6,4.0,1.4,1.0,0.4,.467,.381,.803,7.0,.158,2013
14,15T,Ryan Anderson,24,NOH,1.0,5.0,600,0.008,81,30.9,16.2,6.4,1.2,0.5,0.4,.423,.382,.844,6.5,.125,2013
15,15T,Carmelo Anthony,28,NYK,1.0,5.0,600,0.008,67,37.0,28.7,6.9,2.6,0.8,0.5,.449,.379,.830,9.5,.184,2013
16,15T,Andray Blatche,26,BRK,1.0,5.0,600,0.008,82,19.0,10.3,5.1,1.0,1.0,0.7,.512,.136,.685,4.9,.153,2013
17,15T,Mike Conley,25,MEM,1.0,5.0,600,0.008,80,34.5,14.6,2.8,6.1,2.2,0.3,.440,.362,.830,9.9,.172,2013
18,15T,Kawhi Leonard,21,SAS,0.0,5.0,600,0.008,58,31.2,11.9,6.0,1.6,1.7,0.6,.494,.374,.825,6.2,.166,2013
19,20,Kevin Durant,24,OKC,0.0,4.0,600,0.007,81,38.5,28.1,7.9,4.6,1.4,1.3,.510,.416,.905,18.9,.291,2013
20,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,2013
21,21T,Arron Afflalo,27,ORL,0.0,3.0,600,0.005,64,36.0,16.5,3.7,3.2,0.6,0.2,.439,.300,.857,2.0,.042,2013
22,21T,Earl Clark,25,LAL,0.0,3.0,600,0.005,59,23.1,7.3,5.5,1.1,0.6,0.7,.440,.337,.697,2.3,.080,2013
23,21T,Kenneth Faried,23,DEN,0.0,3.0,600,0.005,80,28.1,11.5,9.2,1.0,1.0,1.0,.552,,.613,7.8,.167,2013
24,21T,Greg Monroe,22,DET,0.0,3.0,600,0.005,81,33.2,16.0,9.6,3.5,1.3,0.7,.486,.000,.689,5.9,.105,2013
25,21T,Joakim Noah,27,CHI,0.0,3.0,600,0.005,66,36.8,11.9,11.1,4.0,1.2,2.1,.481,.000,.751,7.3,.145,2013
26,26,Tristan Thompson,21,CLE,0.0,2.0,600,0.003,82,31.3,11.7,9.4,1.3,0.7,0.9,.488,.000,.608,5.2,.098,2013
27,27T,Tobias Harris,20,TOT,0.0,1.0,600,0.002,55,23.6,11.0,5.2,1.3,0.6,0.8,.455,.315,.752,2.4,.089,2013
28,27T,Jarrett Jack,29,GSW,0.0,1.0,600,0.002,79,29.7,12.9,3.1,5.6,0.8,0.1,.452,.404,.843,5.6,.115,2013
29,27T,Ty Lawson,25,DEN,0.0,1.0,600,0.002,73,34.4,16.7,2.7,6.9,1.5,0.1,.461,.366,.756,7.4,.141,2013
30,27T,Brook Lopez,24,BRK,0.0,1.0,600,0.002,74,30.4,19.4,6.9,0.9,0.4,2.1,.521,.000,.758,9.0,.191,2013
31,27T,Robin Lopez,24,NOH,0.0,1.0,600,0.002,82,26.0,11.3,5.6,0.8,0.4,1.6,.534,,.778,5.6,.126,2013
32,27T,Lance Stephenson,22,IND,0.0,1.0,600,0.002,78,29.2,8.8,3.9,2.9,1.0,0.2,.460,.330,.652,5.5,.115,2013
33,27T,Jeff Teague,24,ATL,0.0,1.0,600,0.002,80,32.9,14.6,2.3,7.2,1.5,0.4,.451,.359,.881,6.1,.111,2013
0,1,Goran Dragić,27,PHO,65.0,408.0,630,0.648,76,35.1,20.3,3.2,5.9,1.4,0.3,.505,.408,.760,10.3,.186,2014
1,2,Lance Stephenson,23,IND,13.0,158.0,630,0.251,78,35.3,13.8,7.2,4.6,0.7,0.1,.491,.352,.711,7.4,.130,2014
2,3,Anthony Davis,20,NOP,16.0,155.0,630,0.246,67,35.2,20.8,10.0,1.6,1.3,2.8,.519,.222,.791,10.4,.212,2014
3,4,Gerald Green,28,PHO,16.0,117.0,630,0.186,82,28.4,15.8,3.4,1.5,0.9,0.5,.445,.400,.848,6.1,.126,2014
4,5,DeAndre Jordan,25,LAC,4.0,66.0,630,0.105,82,35.0,10.4,13.6,0.9,1.0,2.5,.676,,.428,11.1,.186,2014
5,6,Kyle Lowry,27,TOR,2.0,43.0,630,0.068,79,36.2,17.9,4.7,7.4,1.5,0.2,.423,.380,.813,11.7,.197,2014
6,7,Blake Griffin,24,LAC,6.0,39.0,630,0.062,80,35.8,24.1,9.5,3.9,1.2,0.6,.528,.273,.715,12.2,.205,2014
7,8,DeMar DeRozan,24,TOR,1.0,28.0,630,0.044,79,38.2,22.7,4.3,4.0,1.1,0.4,.429,.305,.824,8.8,.141,2014
8,9,Patty Mills,25,SAS,0.0,14.0,630,0.022,81,18.9,10.2,2.1,1.8,0.8,0.1,.464,.425,.890,5.6,.175,2014
9,10T,Markieff Morris,24,PHO,1.0,13.0,630,0.021,81,26.6,13.8,6.0,1.8,0.8,0.6,.486,.315,.792,6.4,.143,2014
10,10T,Isaiah Thomas,24,SAC,0.0,13.0,630,0.021,72,34.7,20.3,2.9,6.3,1.3,0.1,.453,.349,.850,7.7,.149,2014
11,12,Shaun Livingston,28,BRK,0.0,11.0,630,0.017,76,26.0,8.3,3.2,3.2,1.2,0.4,.483,.167,.827,4.4,.108,2014
12,13,D.J. Augustin,26,TOT,1.0,9.0,630,0.014,71,27.3,13.1,1.8,4.4,0.7,0.0,.415,.401,.885,6.2,.154,2014
13,14,Reggie Jackson,23,OKC,0.0,8.0,630,0.013,80,28.5,13.1,3.9,4.1,1.1,0.1,.440,.339,.893,4.9,.104,2014
14,15T,Robin Lopez,25,POR,0.0,6.0,630,0.010,82,31.7,11.1,8.5,0.9,0.3,1.7,.551,.000,.818,9.5,.176,2014
15,15T,Klay Thompson,23,GSW,0.0,6.0,630,0.010,81,35.4,18.4,3.1,2.2,0.9,0.5,.444,.417,.795,6.7,.112,2014
16,17T,Kevin Durant,25,OKC,1.0,5.0,630,0.008,81,38.5,32.0,7.4,5.5,1.3,0.7,.503,.391,.873,19.2,.295,2014
17,17T,DeMarcus Cousins,23,SAC,0.0,5.0,630,0.008,71,32.4,22.7,11.7,2.9,1.5,1.3,.496,.000,.726,7.9,.166,2014
18,19,Al Jefferson,29,CHA,0.0,4.0,630,0.006,73,35.0,21.8,10.8,2.1,0.9,1.1,.509,.200,.690,7.8,.146,2014
19,20T,Bradley Beal,20,WAS,0.0,3.0,630,0.005,73,34.7,17.1,3.7,3.3,1.0,0.2,.419,.402,.788,4.0,.076,2014
20,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,2014
21,20T,Mike Conley,26,MEM,0.0,3.0,630,0.005,73,33.5,17.2,2.9,6.0,1.5,0.2,.450,.361,.815,8.2,.161,2014
22,20T,Andre Drummond,20,DET,0.0,3.0,630,0.005,81,32.3,13.5,13.2,0.4,1.2,1.6,.623,.000,.418,9.9,.182,2014
23,20T,Taj Gibson,28,CHI,0.0,3.0,630,0.005,82,28.7,13.0,6.8,1.1,0.5,1.4,.479,.000,.751,5.7,.117,2014
24,20T,LeBron James,29,MIA,0.0,3.0,630,0.005,77,37.7,27.1,6.9,6.3,1.6,0.3,.567,.379,.750,15.9,.264,2014
25,20T,Terrence Jones,22,HOU,0.0,3.0,630,0.005,76,27.3,12.1,6.9,1.1,0.7,1.3,.542,.307,.605,7.3,.169,2014
26,20T,Jodie Meeks,26,LAL,0.0,3.0,630,0.005,77,33.2,15.7,2.5,1.8,1.4,0.1,.463,.401,.857,4.5,.084,2014
27,27T,LaMarcus Aldridge,28,POR,0.0,1.0,630,0.002,69,36.2,23.2,11.1,2.6,0.9,1.0,.458,.200,.822,7.5,.144,2014
28,27T,Alec Burks,22,UTA,0.0,1.0,630,0.002,78,28.1,14.0,3.3,2.7,0.9,0.2,.457,.350,.748,3.2,.070,2014
29,27T,Paul Millsap,28,ATL,0.0,1.0,630,0.002,74,33.5,17.9,8.5,3.1,1.7,1.1,.461,.358,.731,6.7,.129,2014
30,27T,Chandler Parsons,25,HOU,0.0,1.0,630,0.002,74,37.6,16.6,5.5,4.0,1.2,0.4,.472,.370,.742,7.6,.131,2014
31,27T,John Wall,23,WAS,0.0,1.0,630,0.002,82,36.3,19.3,4.1,8.8,1.8,0.5,.433,.351,.805,7.9,.128,2014
0,1,Jimmy Butler,25,CHI,92.0,535.0,645,0.829,65,38.7,20.0,5.8,3.3,1.8,0.6,.462,.378,.834,11.2,.214,2015
1,2,Draymond Green,24,GSW,11.0,200.0,645,0.310,79,31.5,11.7,8.2,3.7,1.6,1.3,.443,.337,.660,8.5,.163,2015
2,3,Rudy Gobert,22,UTA,12.0,189.0,645,0.293,82,26.3,8.4,9.5,1.3,0.8,2.3,.604,.000,.623,9.3,.206,2015
3,4,Hassan Whiteside,25,MIA,5.0,88.0,645,0.136,48,23.8,11.8,10.0,0.1,0.6,2.6,.628,,.500,5.3,.221,2015
